HiveID,Hive_Tag,ApiaryID
1,H003-P2,1
2,H007-NA,1
3,H1,1
4,HT101,1
5,HT102,1
6,HT102+103,1
7,HT103,1
8,HT104,1
9,HT105,1
10,HT106,1
11,HT107,1
12,HT108,1
13,HT109,1
14,HT201,1
15,HT203,1
16,HT204,1
17,HT208,1
18,HT211,1
19,HT214,1
20,HT215,1
21,HT217,1
22,HT219,1
23,HT222,1
24,HT223,1
25,HT225,1
26,swarm,1
27,101,2
28,102,2
29,103,2
30,104,2
31,105,2
32,106,2
33,107,2
34,108,2
35,109,2
36,110,2
37,111,2
38,Fgtugv,2
39,Test,2
40,H520,3
41,H628,3
42,H869,3
43,,4
44,110,4
45,111,4
46,203,4
47,211,4
48,214,4
49,215,4
50,216,4
51,217,4
52,219,4
53,222,4
54,223,4
55,225,4
56,230,4
57,231,4
58,232,4
59,233,4
60,235,4
61,236,4
62,237,4
63,238,4
64,239,4
65,240,4
66,242,4
67,243,4
68,244,4
69,245,4
70,H01,4
71,H03,4
72,H04,4
73,H06,4
74,H08,4
75,H11,4
76,H12,4
77,H13,4
78,H14,4
79,H15,4
80,H17,4
81,H18,4
82,H19,4
83,H21,4
84,H22,4
85,H23,4
86,H24,4
87,H25,4
88,H26,4
89,H27,4
90,H28,4
91,H29,4
92,HT201,4
93,HT202,4
94,HT203,4
95,HT204,4
96,HT205,4
97,HT206,4
98,HT207,4
99,HT208,4
100,HT211,4
101,HT212,4
102,HT213,4
103,HT214,4
104,HT215,4
105,HT216,4
106,HT217,4
107,HT218,4
108,HT219,4
109,HT222,4
110,HT223,4
111,HT224,4
112,HT225,4
113,HT226,4
114,HT229,4
115,H1,5
116,H2,5
117,H3,5
118,108,6
119,202,6
120,205,6
121,214,6
122,216,6
123,241,6
124,H91,6
125,HA,6
126,HB,6
127,HC,6
128,HD,6
129,HE,6
130,HF,6
131,HT202,6
132,HT205,6
133,HT216,6
134,#10,7
135,#3,7
136,#9,7
137,3,7
138,4,7
139,5,7
140,6,7
141,H01,7
142,H02,7
143,H04,7
144,H05,7
145,H06,7
146,H07,7
147,H08,7
148,H09,7
149,H1,7
150,H10,7
151,H11,7
152,H2,7
153,H3,7
154,H4,7
155,H5,7
156,H6,7
157,H7,7
158,H8,7
159,H9,7
160,Hive #1,7
161,Hive #10,7
162,Hive #2,7
163,Hive #3,7
164,Hive #4,7
165,Hive #5,7
166,Hive #6,7
167,Hive #9,7
168,hive #3,7
169,104,8
170,107,8
171,7,9
172,9,9
173,Hive #1,9
174,7,10
175,9,10
176,Hive #10,10
177,H01,11
178,H01-BSO,11
179,H02,11
180,H02-GH,11
181,H03,11
182,H03-PMBD,11
183,H04,11
184,H04-IQBA,11
185,2,12
186,Hive #4,12
187,2,13
188,8,13
