ObsID,Date,Obs_Time,Obs_Hour
1,3/29/2016,0:51,54
2,3/29/2016,1:51,1
3,3/29/2016,2:51,2
4,3/29/2016,3:51,3
5,3/29/2016,4:51,4
6,3/29/2016,5:51,5
7,3/29/2016,6:51,6
8,3/29/2016,7:51,7
9,3/29/2016,8:51,8
10,3/29/2016,9:51,9
11,3/29/2016,10:51,10
12,3/29/2016,11:51,11
13,3/29/2016,12:51,12
14,3/29/2016,13:51,13
15,3/29/2016,14:51,14
16,3/29/2016,15:51,15
17,3/29/2016,16:51,16
18,3/29/2016,17:51,17
19,3/29/2016,18:51,18
20,3/29/2016,19:51,19
21,3/29/2016,20:51,20
22,3/29/2016,21:51,21
23,3/29/2016,22:51,22
24,3/29/2016,23:51,23
25,4/21/2016,0:51,0
26,4/21/2016,1:51,1
27,4/21/2016,2:51,2
28,4/21/2016,3:51,3
29,4/21/2016,4:51,4
30,4/21/2016,5:51,5
31,4/21/2016,6:51,6
32,4/21/2016,7:51,7
33,4/21/2016,8:51,8
34,4/21/2016,9:51,9
35,4/21/2016,10:51,10
36,4/21/2016,11:51,11
37,4/21/2016,12:51,12
38,4/21/2016,13:51,13
39,4/21/2016,14:51,14
40,4/21/2016,15:51,15
41,4/21/2016,16:51,16
42,4/21/2016,17:51,17
43,4/21/2016,18:51,18
44,4/21/2016,19:51,19
45,4/21/2016,20:51,20
46,4/21/2016,21:51,21
47,4/21/2016,22:51,22
48,4/21/2016,23:51,23
49,4/28/2016,0:51,0
50,4/28/2016,1:51,1
51,4/28/2016,2:51,2
52,4/28/2016,3:51,3
53,4/28/2016,4:51,4
54,4/28/2016,5:51,5
55,4/28/2016,6:51,6
56,4/28/2016,7:51,7
57,4/28/2016,8:51,8
58,4/28/2016,9:51,9
59,4/28/2016,10:51,10
60,4/28/2016,11:51,11
61,4/28/2016,12:51,12
62,4/28/2016,13:51,13
63,4/28/2016,14:51,14
64,4/28/2016,15:51,15
65,4/28/2016,16:51,16
66,4/28/2016,17:51,17
67,4/28/2016,18:51,18
68,4/28/2016,19:51,19
69,4/28/2016,20:51,20
70,4/28/2016,21:51,21
71,4/28/2016,22:51,22
72,4/28/2016,23:51,23
73,5/2/2016,0:51,0
74,5/2/2016,1:51,1
75,5/2/2016,2:51,2
76,5/2/2016,3:51,3
77,5/2/2016,4:51,4
78,5/2/2016,5:51,5
79,5/2/2016,6:51,6
80,5/2/2016,7:51,7
81,5/2/2016,8:51,8
82,5/2/2016,9:51,9
83,5/2/2016,10:51,10
84,5/2/2016,11:51,11
85,5/2/2016,12:51,12
86,5/2/2016,13:51,13
87,5/2/2016,14:51,14
88,5/2/2016,15:51,15
89,5/2/2016,16:51,16
90,5/2/2016,17:51,17
91,5/2/2016,18:51,18
92,5/2/2016,19:51,19
93,5/2/2016,20:51,20
94,5/2/2016,21:51,21
95,5/2/2016,22:51,22
96,5/2/2016,23:51,23
97,5/9/2016,0:51,0
98,5/9/2016,1:51,1
99,5/9/2016,2:51,2
100,5/9/2016,3:51,3
101,5/9/2016,4:51,4
