InspectionID,HiveID,Date,Brood,Bees,Queen,Food,Stressors,Space,Percent_Met,Healthy,Hive_Tag,ApiaryID,Apiary,Station_City
1,1,06/15/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham
2,1,07/22/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham
3,1,08/01/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham
4,1,08/08/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham
5,1,08/15/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham
6,1,08/22/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham
7,1,08/29/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham
8,1,09/08/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H003-P2,1,BBCC,Durham
9,1,09/16/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham
10,1,09/27/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham
11,1,10/04/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H003-P2,1,BBCC,Durham
12,1,10/11/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H003-P2,1,BBCC,Durham
13,1,10/24/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham
14,1,03/07/2017,0.0,0.0,0.0,0.0,0.0,0.0,0,No,H003-P2,1,BBCC,Durham
15,1,03/07/2017,0.0,0.0,0.0,0.0,0.0,0.0,0,No,H003-P2,1,BBCC,Durham
16,2,07/28/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H007-NA,1,BBCC,Durham
17,2,08/01/2016,1.0,0.0,1.0,0.0,0.0,0.0,33,No,H007-NA,1,BBCC,Durham
18,2,08/08/2016,1.0,1.0,1.0,0.0,0.0,0.0,50,No,H007-NA,1,BBCC,Durham
19,3,02/08/2017,1.0,1.0,1.0,1.0,0.0,0.0,67,No,H1,1,BBCC,Durham
20,4,03/18/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
21,4,03/24/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
22,4,06/15/2016,0.0,1.0,0.0,1.0,0.0,1.0,50,No,HT101,1,BBCC,Durham
23,4,07/28/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
24,4,08/02/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
25,4,08/05/2016,0.0,0.0,1.0,1.0,0.0,1.0,50,No,HT101,1,BBCC,Durham
26,4,08/09/2016,0.0,0.0,1.0,1.0,0.0,1.0,50,No,HT101,1,BBCC,Durham
27,4,08/16/2016,1.0,0.0,1.0,1.0,0.0,1.0,67,No,HT101,1,BBCC,Durham
28,4,08/23/2016,1.0,1.0,1.0,1.0,0.0,0.0,67,No,HT101,1,BBCC,Durham
29,4,08/29/2016,0.0,0.0,0.0,0.0,0.0,1.0,17,No,HT101,1,BBCC,Durham
30,4,09/06/2016,0.0,0.0,0.0,0.0,0.0,1.0,17,No,HT101,1,BBCC,Durham
31,4,09/14/2016,1.0,0.0,0.0,1.0,0.0,0.0,33,No,HT101,1,BBCC,Durham
32,4,09/27/2016,0.0,0.0,0.0,1.0,0.0,0.0,17,No,HT101,1,BBCC,Durham
33,4,10/04/2016,0.0,1.0,0.0,0.0,0.0,1.0,33,No,HT101,1,BBCC,Durham
34,4,10/11/2016,1.0,1.0,1.0,0.0,0.0,0.0,50,No,HT101,1,BBCC,Durham
35,4,10/24/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
36,4,03/07/2017,1.0,1.0,0.0,1.0,1.0,0.0,67,No,HT101,1,BBCC,Durham
37,4,03/07/2017,1.0,1.0,0.0,1.0,1.0,0.0,67,No,HT101,1,BBCC,Durham
38,4,03/24/2017,1.0,1.0,1.0,1.0,1.0,0.0,83,No,HT101,1,BBCC,Durham
39,4,03/24/2017,1.0,1.0,1.0,1.0,1.0,0.0,83,No,HT101,1,BBCC,Durham
40,4,03/29/2017,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
41,4,03/29/2017,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
42,4,04/04/2017,1.0,1.0,1.0,1.0,1.0,0.0,83,No,HT101,1,BBCC,Durham
43,4,04/04/2017,1.0,1.0,1.0,1.0,1.0,0.0,83,No,HT101,1,BBCC,Durham
44,4,04/10/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
45,4,04/10/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
46,4,04/21/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
47,4,04/21/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
48,4,04/28/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
49,4,04/28/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
50,4,05/02/2017,1.0,0.5,1.0,1.0,0.0,1.0,75,No,HT101,1,BBCC,Durham
51,4,05/02/2017,1.0,0.5,1.0,1.0,0.0,1.0,75,No,HT101,1,BBCC,Durham
52,4,05/08/2017,0.0,0.0,1.0,0.0,0.0,0.0,17,No,HT101,1,BBCC,Durham
53,4,05/08/2017,0.0,0.0,1.0,0.0,0.0,0.0,17,No,HT101,1,BBCC,Durham
54,4,05/10/2017,0.0,0.0,1.0,1.0,0.0,0.0,33,No,HT101,1,BBCC,Durham
55,4,05/10/2017,0.0,0.0,1.0,1.0,0.0,0.0,33,No,HT101,1,BBCC,Durham
56,4,05/16/2017,1.0,1.0,1.0,1.0,0.0,0.0,67,No,HT101,1,BBCC,Durham
57,4,05/16/2017,1.0,1.0,1.0,1.0,0.0,0.0,67,No,HT101,1,BBCC,Durham
58,4,05/25/2017,1.0,1.0,1.0,1.0,0.0,0.0,67,No,HT101,1,BBCC,Durham
59,4,05/25/2017,1.0,1.0,1.0,1.0,0.0,0.0,67,No,HT101,1,BBCC,Durham
60,4,06/06/2017,1.0,0.0,1.0,1.0,0.0,1.0,67,No,HT101,1,BBCC,Durham
61,4,06/06/2017,1.0,0.0,1.0,1.0,0.0,1.0,67,No,HT101,1,BBCC,Durham
62,4,06/12/2017,1.0,0.0,1.0,1.0,0.0,1.0,67,No,HT101,1,BBCC,Durham
63,4,06/12/2017,1.0,0.0,1.0,1.0,0.0,1.0,67,No,HT101,1,BBCC,Durham
64,4,06/23/2017,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
65,4,06/23/2017,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
66,4,06/26/2017,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
67,4,06/26/2017,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham
68,4,07/03/2017,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,HT101,1,BBCC,Durham
