InspectionID,HiveID,Date,Brood,Bees,Queen,Food,Stressors,Space,Percent_Met,Healthy,Hive_Tag,ApiaryID,Apiary,Station_City,StationID,Temperature,Humidity,Dew_Point,Wind_Speed,Wind_Gust,Pressure,Precip,Healthy_Binary
3,1,08/01/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham,2.0,80.20833333333333,80.375,73.25,5.75,0.0,29.591250000000002,0.0,1
4,1,08/08/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham,2.0,78.08333333333333,82.625,72.16666666666667,6.458333333333333,2.3333333333333335,29.54875,0.024999999999999998,1
5,1,08/15/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham,2.0,84.36363636363636,70.72727272727273,73.27272727272727,6.2272727272727275,0.0,29.707272727272724,0.0,0
6,1,08/22/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham,2.0,77.08333333333333,59.625,60.625,3.125,0.0,29.634583333333335,0.0,1
7,1,08/29/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham,2.0,78.54166666666667,66.29166666666667,65.08333333333333,5.791666666666667,0.0,29.65833333333333,0.0,1
8,1,09/08/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H003-P2,1,BBCC,Durham,2.0,81.45833333333333,61.833333333333336,65.91666666666667,6.791666666666667,1.5833333333333333,29.555000000000003,0.0,0
9,1,09/16/2016,1.0,1.0,1.0,1.0,1.0,1.0,100,Yes,H003-P2,1,BBCC,Durham,2.0,74.54166666666667,72.41666666666667,64.75,8.5,0.8333333333333334,29.731666666666666,0.0,1
10,1,09/27/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham,2.0,72.79166666666667,84.875,67.83333333333333,3.875,0.0,29.4825,0.0,0
11,1,10/04/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H003-P2,1,BBCC,Durham,2.0,67.375,77.66666666666667,59.458333333333336,8.166666666666666,2.3333333333333335,29.679166666666664,0.0,0
12,1,10/11/2016,1.0,1.0,1.0,0.0,0.0,1.0,67,No,H003-P2,1,BBCC,Durham,2.0,54.125,74.91666666666667,44.791666666666664,3.3333333333333335,0.0,29.902083333333334,0.0,0
13,1,10/24/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,H003-P2,1,BBCC,Durham,2.0,61.916666666666664,59.833333333333336,46.375,6.041666666666667,0.9166666666666666,29.655416666666667,0.0,0
14,1,03/07/2017,0.0,0.0,0.0,0.0,0.0,0.0,0,No,H003-P2,1,BBCC,Durham,2.0,62.875,55.791666666666664,45.791666666666664,14.166666666666666,12.5,29.815416666666668,0.0,0
15,1,03/07/2017,0.0,0.0,0.0,0.0,0.0,0.0,0,No,H003-P2,1,BBCC,Durham,2.0,62.875,55.791666666666664,45.791666666666664,14.166666666666666,12.5,29.815416666666668,0.0,0
17,2,08/01/2016,1.0,0.0,1.0,0.0,0.0,0.0,33,No,H007-NA,1,BBCC,Durham,2.0,80.20833333333333,80.375,73.25,5.75,0.0,29.591250000000002,0.0,0
18,2,08/08/2016,1.0,1.0,1.0,0.0,0.0,0.0,50,No,H007-NA,1,BBCC,Durham,2.0,78.08333333333333,82.625,72.16666666666667,6.458333333333333,2.3333333333333335,29.54875,0.024999999999999998,0
24,4,08/02/2016,1.0,1.0,1.0,1.0,0.0,1.0,83,No,HT101,1,BBCC,Durham,2.0,78.95833333333333,84.91666666666667,73.75,4.208333333333333,0.0,29.561666666666667,0.012500000000000002,0
